name,email,password,age,PhNum,gender
Shlok,shlok@gmail.com,Shlok123,18,9219603665,false
Vanessa,vanessa@gmail.com,Vanessa123,19,9278841878,true
Ritika,ritika@gmail.com,Ritika123,20,9338080091,true
Annant,annant@gmail.com,Annant123,21,9397318304,false
Adarsh,adarsh@gmail.com,Adarsh123,22,9456556517,false
Harish,harish@gmail.com,Harish123,23,9515794730,false
Poorna,poorna@gmail.com,Poorna123,24,9575032943,true
Ranjana,ranjana@gmail.com,Ranjana123,25,9634271156,true
Rachel,rachel@gmail.com,Rachel123,26,9693509369,true
Kani,kani@gmail.com,Kani123,27,9752747582,false
